index,Name,Email,Affiliation,Verified
A S Madhukumar,Francois P.S. Chin,/citations?user=0g3qbqgAAAAJ&hl=en,,Verified email at i2r.a-star.edu.sg
A S Madhukumar,Benjamin Premkumar,/citations?user=JqOP230AAAAJ&hl=en,CMR Institute of Technology,Verified email at cmrit.ac.in
A S Madhukumar,Rajendra Prasad Sirigina,/citations?user=3MBdKGEAAAAJ&hl=en,"Lecturer, National University of Singapore",Verified email at comp.nus.edu.sg
A S Madhukumar,Swaminathan Ramabadran,/citations?user=clwEnRYAAAAJ&hl=en,Indian Institute of Technology Indore,Verified email at iiti.ac.in
A S Madhukumar,Tan Zheng Hui Ernest,/citations?user=gw75oM4AAAAJ&hl=en,"Advanced Remanufacturing and Technology Centre, A*STAR",Verified email at artc.a-star.edu.sg
A S Madhukumar,Ernest Kurniawan,/citations?user=Or5lsa4AAAAJ&hl=en,Institute for Infocomm Research,Verified email at i2r.a-star.edu.sg
A S Madhukumar,Ashish James,/citations?user=3JibwUYAAAAJ&hl=en,"Institute of Infocomm Research (I2R), A*STAR",Verified email at i2r.a-star.edu.sg
A S Madhukumar,Shubha Sharma,/citations?user=qUCavcMAAAAJ&hl=en,"Nanyang Technological University, Singapore",Verified email at ntu.edu.sg
A S Madhukumar,Vinod A Prasad,/citations?user=yhYd0_4AAAAJ&hl=en,"Professor, Information Communication Technology, Singapore Institute of Technology",Verified email at singaporetech.edu.sg
A S Madhukumar,Ponnu Jacob,/citations?user=jly2hcEAAAAJ&hl=en,Senior Leader AI/ML- Apple,Verified email at apple.com
A S Madhukumar,Sudhan Majhi,/citations?user=cMpo0YMAAAAJ&hl=en,"Department of ECE, Indian Institute of Science, Bangalore, INDIA",Verified email at iisc.ac.in
A S Madhukumar,Kai Yang,/citations?user=irQuUaYAAAAJ&hl=en,Tongji University,Verified email at tongji.edu.cn
A S Madhukumar,Ying-Chang Liang,/citations?user=HybIiJ8AAAAJ&hl=en,IEEE Fellow & Highly Cited Researcher,Verified email at ieee.org
A S Madhukumar,Nguyen Duy Duong,/citations?user=Vj6MR88AAAAJ&hl=en,"Research Fellow, Nanyang Technological University",Verified email at ntu.edu.sg
A S Madhukumar,Narendar Madhavan,/citations?user=Y4AHTZIAAAAJ&hl=en,Ericsson Research,Verified email at ericsson.com
A S Madhukumar,Fumiyuki Adachi,/citations?user=f7PIxx0AAAAJ&hl=en,"Specially Appointed Research Fellow, Tohoku U., International Research Institute of Disaster Science",Verified email at ecei.tohoku.ac.jp
A S Madhukumar,Yegnanarayana Bayya,/citations?user=e9YThaYAAAAJ&hl=en,IIIT-H,Verified email at iiit.ac.in
A S Madhukumar,Guohua Wang,/citations?user=RZkOfT4AAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
A S Madhukumar,Hari Vishnu,/citations?user=0X4Uyw0AAAAJ&hl=en,"Senior Research Fellow, National University of Singapore, Singapore",Verified email at nus.edu.sg
A S Madhukumar,"Pham Duc Minh, PhD",/citations?user=oDTmrosAAAAJ&hl=en,"Singapore Institute of Manufacturing Technology (SIMTech), A*STAR, Singapore",Verified email at ntu.edu.sg
Alexei Sourin,Olga Sourina,/citations?user=Xetgr0kAAAAJ&hl=en,"Head of Cognitive HCI Lab, FraunhoferIDM@NTU Center, Nanyang Technological University",Verified email at ntu.edu.sg
Alexei Sourin,Shahzad Rasool,/citations?user=ERuoo-UAAAAJ&hl=en,"National University of Sciences and Technology, Islamabad",Verified email at sines.nust.edu.pk
Alexei Sourin,Wenting Dai,/citations?user=y4z7GYUAAAAJ&hl=en,Nanyang Technological University,Verified email at e.ntu.edu.sg
Alexei Sourin,Lei Wei,/citations?user=MempzJMAAAAJ&hl=en,"Associate Professor (Equiv. Full Prof. in Asian & North American Academic System), Deakin University",Verified email at deakin.edu.au
Alexei Sourin,Dr Valery Adzhiev,/citations?user=7gsH4MUAAAAJ&hl=en,"Principal Academic, Bournemouth University",Verified email at bournemouth.ac.uk
Alexei Sourin,DR. VLADIMIR KULISH,/citations?user=11sik5YAAAAJ&hl=en,"Department of Fluid Mechanics & Thermodynamics, Czech Technical University in Prague",Verified email at vladimirkulish.com
Alexei Sourin,Jian Cui,/citations?user=YbznojwAAAAJ&hl=en,"PI, Zhejiang Lab",Verified email at zhejianglab.com
Alexei Sourin,Tet Sen Howe,/citations?user=vbJiXO4AAAAJ&hl=en,Singapore General Hospital,Verified email at singhealth.com.sg
Alexei Sourin,Xingzi Zhang,/citations?user=yJACRtIAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
