Year,Citations,Name
2002,18,A S Madhukumar
2003,10,A S Madhukumar
2004,19,A S Madhukumar
2005,53,A S Madhukumar
2006,95,A S Madhukumar
2007,91,A S Madhukumar
2008,113,A S Madhukumar
2009,96,A S Madhukumar
2010,98,A S Madhukumar
2011,124,A S Madhukumar
2012,129,A S Madhukumar
2013,143,A S Madhukumar
2014,148,A S Madhukumar
2015,132,A S Madhukumar
2016,149,A S Madhukumar
2017,153,A S Madhukumar
2018,145,A S Madhukumar
2019,190,A S Madhukumar
2020,203,A S Madhukumar
2021,266,A S Madhukumar
2022,288,A S Madhukumar
2023,200,A S Madhukumar
2002,18,Alexei Sourin
2003,10,Alexei Sourin
2004,19,Alexei Sourin
2005,53,Alexei Sourin
2006,95,Alexei Sourin
2007,91,Alexei Sourin
2008,113,Alexei Sourin
2009,96,Alexei Sourin
2010,98,Alexei Sourin
2011,124,Alexei Sourin
2012,129,Alexei Sourin
2013,143,Alexei Sourin
2014,148,Alexei Sourin
2015,132,Alexei Sourin
2016,149,Alexei Sourin
2017,153,Alexei Sourin
2018,145,Alexei Sourin
2019,190,Alexei Sourin
2020,203,Alexei Sourin
2021,266,Alexei Sourin
2022,288,Alexei Sourin
2023,200,Alexei Sourin
2002,18,Anupam Chattopadhyay
2003,10,Anupam Chattopadhyay
2004,19,Anupam Chattopadhyay
2005,53,Anupam Chattopadhyay
2006,95,Anupam Chattopadhyay
2007,91,Anupam Chattopadhyay
2008,113,Anupam Chattopadhyay
2009,96,Anupam Chattopadhyay
2010,98,Anupam Chattopadhyay
2011,124,Anupam Chattopadhyay
2012,129,Anupam Chattopadhyay
2013,143,Anupam Chattopadhyay
2014,148,Anupam Chattopadhyay
2015,132,Anupam Chattopadhyay
2016,149,Anupam Chattopadhyay
2017,153,Anupam Chattopadhyay
2018,145,Anupam Chattopadhyay
2019,190,Anupam Chattopadhyay
2020,203,Anupam Chattopadhyay
2021,266,Anupam Chattopadhyay
2022,288,Anupam Chattopadhyay
2023,200,Anupam Chattopadhyay
2002,18,Anwitaman Datta
2003,10,Anwitaman Datta
2004,19,Anwitaman Datta
2005,53,Anwitaman Datta
2006,95,Anwitaman Datta
2007,91,Anwitaman Datta
2008,113,Anwitaman Datta
2009,96,Anwitaman Datta
2010,98,Anwitaman Datta
2011,124,Anwitaman Datta
2012,129,Anwitaman Datta
2013,143,Anwitaman Datta
2014,148,Anwitaman Datta
2015,132,Anwitaman Datta
2016,149,Anwitaman Datta
2017,153,Anwitaman Datta
2018,145,Anwitaman Datta
2019,190,Anwitaman Datta
2020,203,Anwitaman Datta
2021,266,Anwitaman Datta
2022,288,Anwitaman Datta
2023,200,Anwitaman Datta
2002,18,Arvind Easwaran
2003,10,Arvind Easwaran
2004,19,Arvind Easwaran
2005,53,Arvind Easwaran
2006,95,Arvind Easwaran
2007,91,Arvind Easwaran
2008,113,Arvind Easwaran
2009,96,Arvind Easwaran
2010,98,Arvind Easwaran
2011,124,Arvind Easwaran
2012,129,Arvind Easwaran
2013,143,Arvind Easwaran
2014,148,Arvind Easwaran
2015,132,Arvind Easwaran
2016,149,Arvind Easwaran
2017,153,Arvind Easwaran
2018,145,Arvind Easwaran
2019,190,Arvind Easwaran
2020,203,Arvind Easwaran
2021,266,Arvind Easwaran
2022,288,Arvind Easwaran
